Campaign_ID,Web_Campaign_Source,Web_Campaign_Medium,Web_Campaign_Name,Send_Date,Target_Segment,Subject_Line,Sent,Open_Rate,Click_Rate,Conversion_Rate,Revenue
C023,meta,organic_social,Seed Starting Education,2024-08-19,High CLV,Your garden checklist is here,4393,,0.08,0.007,188.57
C024,meta,email,Beginner Garden Starter,2024-08-26,Club Members,Start your best garden yet,4422,0.359,0.057,0.041,443.78
C025,google,catalog,Summer Pest Control,2024-09-06,Lapsed Customers,Your garden checklist is here,15585,,0.085,0.037,3755.08
C026,direct,paid_social,Fall Bulb Preview,2024-09-16,Lapsed Customers,Beginner-friendly picks inside,22123,,0.08,0.039,4145.27
C027,google,search,Summer Pest Control,2024-09-29,Lapsed Customers,This week is planting week,6141,,0.079,0.007,263.22
C028,direct,organic_social,Rose Weekend,2024-10-04,Zone 5-6,Your garden checklist is here,17644,,0.017,0.023,396.66
C029,klaviyo,organic_social,Rose Weekend,2024-10-15,Zone 5-6,Start your best garden yet,15102,,0.052,0.011,717.1
C030,google,search,Raised Bed Upgrade,2024-10-26,Beginners,Your garden checklist is here,18068,,0.039,0.035,2024.79
C031,klaviyo,search,Summer Pest Control,2024-11-09,Club Members,Beginner-friendly picks inside,15804,,0.043,0.03,1585.3
C032,klaviyo,search,Fall Bulb Preview,2024-11-14,Club Members,This week is planting week,9125,,0.053,0.043,799.97
C033,direct,catalog,Fall Bulb Preview,2024-11-26,Club Members,This week is planting week,6040,,0.082,0.041,855.85
C034,catalog,search,Spring Tomato Push,2024-12-05,Lapsed Customers,Start your best garden yet,23642,,0.05,0.042,3005.8
C035,direct,email,Raised Bed Upgrade,2024-12-17,High CLV,Beginner-friendly picks inside,17805,0.448,0.057,0.037,2351.44
C036,direct,catalog,Rose Weekend,2024-12-27,Zone 5-6,Beginner-friendly picks inside,8491,,0.057,0.036,802.47
C037,klaviyo,search,Rose Weekend,2025-01-03,Beginners,Beginner-friendly picks inside,12177,,0.081,0.039,2831.04
C038,meta,paid_social,Summer Pest Control,2025-01-12,Lapsed Customers,Beginner-friendly picks inside,6486,,0.073,0.01,210.1
C039,klaviyo,catalog,Raised Bed Upgrade,2025-01-22,Beginners,Beginner-friendly picks inside,5147,,0.051,0.027,456.18
C040,meta,catalog,Rose Weekend,2025-02-06,Club Members,This week is planting week,11111,,0.083,0.029,1029.56
C041,direct,search,Indoor Winter Growing,2025-02-15,All Customers,Your garden checklist is here,23832,,0.016,0.013,376.52
C042,google,email,Seed Starting Education,2025-02-23,Club Members,Beginner-friendly picks inside,7412,0.388,0.071,0.022,939.6
C043,google,paid_social,Fall Bulb Preview,2025-03-06,Lapsed Customers,Start your best garden yet,5152,,0.022,0.041,324.32
C044,meta,paid_social,Seed Starting Education,2025-03-19,High CLV,This week is planting week,19923,,0.031,0.008,361.2
C045,google,email,Rose Weekend,2025-03-29,All Customers,Start your best garden yet,19860,0.381,0.016,0.021,384.36
C046,meta,organic_social,Summer Pest Control,2025-04-03,All Customers,This week is planting week,21916,,0.045,0.015,977.72
C047,direct,catalog,Seed Starting Education,2025-04-18,High CLV,Start your best garden yet,17688,,0.069,0.016,749.17
C048,catalog,organic_social,Beginner Garden Starter,2025-04-28,Lapsed Customers,Start your best garden yet,24877,,0.03,0.024,1033.6
C049,klaviyo,catalog,Seed Starting Education,2025-05-07,Club Members,Your garden checklist is here,13138,,0.062,0.008,329.66
C050,google,catalog,Seed Starting Education,2025-05-13,Zone 5-6,This week is planting week,12614,,0.019,0.017,339.79
C051,direct,paid_social,Fall Bulb Preview,2025-05-27,All Customers,Your garden checklist is here,10990,,0.057,0.031,996.74
C052,klaviyo,paid_social,Spring Tomato Push,2025-06-07,Lapsed Customers,Beginner-friendly picks inside,5855,,0.022,0.013,140.9
C053,klaviyo,search,Indoor Winter Growing,2025-06-13,Lapsed Customers,This week is planting week,15362,,0.079,0.016,1106.37
C054,meta,email,Raised Bed Upgrade,2025-06-27,Club Members,Your garden checklist is here,23168,0.404,0.061,0.042,3233.24
C055,meta,email,Fall Bulb Preview,2025-07-01,High CLV,Start your best garden yet,16148,0.273,0.044,0.029,1194.09
C056,klaviyo,email,Beginner Garden Starter,2025-07-15,Beginners,Start your best garden yet,5446,0.44,0.027,0.043,370.93
C057,google,email,Raised Bed Upgrade,2025-07-27,Club Members,Your garden checklist is here,23549,0.477,0.073,0.037,2396.34
C058,klaviyo,paid_social,Seed Starting Education,2025-07-31,Club Members,Beginner-friendly picks inside,8889,,0.08,0.016,807.62
C059,google,email,Raised Bed Upgrade,2025-08-12,Lapsed Customers,Start your best garden yet,23684,0.389,0.075,0.023,2909.79
C060,google,catalog,Spring Tomato Push,2025-08-25,Club Members,This week is planting week,14467,,0.045,0.006,169.29
C061,google,paid_social,Indoor Winter Growing,2025-09-04,All Customers,Beginner-friendly picks inside,7781,,0.058,0.038,1107.33
C062,catalog,email,Indoor Winter Growing,2025-09-09,Lapsed Customers,Your garden checklist is here,18037,0.295,0.062,0.008,495.04
C063,google,catalog,Summer Pest Control,2025-09-19,Lapsed Customers,Beginner-friendly picks inside,7247,,0.085,0.039,1073.88
C064,klaviyo,organic_social,Seed Starting Education,2025-10-01,Zone 5-6,Start your best garden yet,12325,,0.061,0.017,1061.21
C065,catalog,organic_social,Raised Bed Upgrade,2025-10-14,Lapsed Customers,This week is planting week,5982,,0.045,0.03,411.83
C066,direct,catalog,Seed Starting Education,2025-10-24,Club Members,Beginner-friendly picks inside,14030,,0.066,0.013,683.17
C067,direct,email,Raised Bed Upgrade,2025-11-03,Beginners,Start your best garden yet,13573,0.479,0.089,0.01,702.07
C068,google,paid_social,Seed Starting Education,2025-11-11,Beginners,Beginner-friendly picks inside,8822,,0.081,0.019,633.62
C069,google,organic_social,Spring Tomato Push,2025-11-22,All Customers,Beginner-friendly picks inside,12507,,0.081,0.022,1506.03
C070,klaviyo,email,Raised Bed Upgrade,2025-12-03,Lapsed Customers,Beginner-friendly picks inside,21357,0.348,0.021,0.029,1058.6
C071,google,paid_social,Summer Pest Control,2025-12-12,Zone 5-6,Start your best garden yet,19061,,0.036,0.016,650.07
C072,direct,catalog,Seed Starting Education,2025-12-19,Zone 5-6,Your garden checklist is here,9042,,0.069,0.031,941.98
