Order_Number,Product_ID,Product_Name,Category,Quantity,Unit_Price,Line_Total
O700077,P1219,Cedar Raised Bed Heirloom,Raised Beds,2,192.21,384.42
O700077,P1134,Carrot Heirloom,Vegetable Seeds,4,3.66,14.64
O700077,P1027,Tomato Premium,Vegetable Seeds,1,4.0,4.0
O700077,P1142,Pepper Classic,Vegetable Seeds,3,5.78,17.34
O700078,P1269,Floribunda Rose Collection,Roses,4,23.2,92.8
O700079,P1202,Salvia Heirloom,Perennials,1,22.13,22.13
O700080,P1006,Seed Tray Starter,Garden Tools,1,34.23,34.23
O700080,P1294,Metal Raised Bed Classic,Raised Beds,1,161.6,161.6
O700080,P1252,Coneflower Organic,Perennials,1,24.5,24.5
O700081,P1169,Phlox Collection,Perennials,1,21.57,21.57
O700082,P1283,Blueberry Pro,Fruit Plants,2,22.98,45.96
O700082,P1171,Zucchini Pro,Vegetable Seeds,1,4.32,4.32
O700083,P1019,Salvia Premium,Perennials,2,15.44,30.88
O700083,P1240,Phlox Starter,Perennials,1,20.64,20.64
O700083,P1092,Cosmos Classic,Flower Seeds,1,2.72,2.72
O700083,P1264,Bone Meal Heirloom,Soil & Fertilizer,1,12.22,12.22
O700084,P1021,Knock Out Rose Collection,Roses,1,40.63,40.63
O700084,P1049,Poppy Classic,Flower Seeds,1,3.59,3.59
O700085,P1119,Coneflower Premium,Perennials,1,23.29,23.29
O700085,P1219,Cedar Raised Bed Heirloom,Raised Beds,1,192.21,192.21
O700086,P1001,Blackberry Pro,Fruit Plants,1,17.76,17.76
O700086,P1238,Grape Organic,Fruit Plants,1,16.83,16.83
O700087,P1134,Carrot Heirloom,Vegetable Seeds,1,3.66,3.66
O700088,P1014,Strawberry Heirloom,Fruit Plants,4,28.11,112.44
O700089,P1216,Cucumber Pro,Vegetable Seeds,1,3.94,3.94
O700090,P1227,Humidity Dome Heirloom,Indoor Growing,1,74.7,74.7
O700090,P1221,Compost Booster Organic,Soil & Fertilizer,4,21.32,85.28
O700091,P1078,Zucchini Heirloom,Vegetable Seeds,1,3.15,3.15
O700091,P1014,Strawberry Heirloom,Fruit Plants,2,28.11,56.22
O700091,P1232,Pruner Classic,Garden Tools,2,29.77,59.54
O700092,P1155,LED Grow Light Organic,Indoor Growing,1,77.63,77.63
O700092,P1150,Bean Organic,Vegetable Seeds,3,8.88,26.64
O700092,P1219,Cedar Raised Bed Heirloom,Raised Beds,2,192.21,384.42
O700093,P1186,Pruner Pro,Garden Tools,2,16.82,33.64
O700093,P1069,Pepper Organic,Vegetable Seeds,2,7.76,15.52
O700093,P1268,Poppy Collection,Flower Seeds,2,5.04,10.08
O700093,P1167,Kale Premium,Vegetable Seeds,1,5.58,5.58
O700094,P1172,Bone Meal Classic,Soil & Fertilizer,1,9.69,9.69
O700094,P1049,Poppy Classic,Flower Seeds,1,3.59,3.59
O700094,P1102,Salvia Starter,Perennials,1,14.23,14.23
O700095,P1270,Pruner Pro,Garden Tools,1,27.51,27.51
O700096,P1281,Phlox Heirloom,Perennials,1,9.81,9.81
O700097,P1143,Grape Pro,Fruit Plants,4,20.65,82.6
O700097,P1039,Pepper Collection,Vegetable Seeds,1,8.86,8.86
O700098,P1260,Pepper Classic,Vegetable Seeds,1,7.54,7.54
O700099,P1021,Knock Out Rose Collection,Roses,2,40.63,81.26
O700099,P1025,Daylily Classic,Perennials,1,24.95,24.95
O700100,P1004,Seed Tray Classic,Garden Tools,2,17.7,35.4
O700101,P1052,Organic Fertilizer Mix,Soil & Fertilizer,4,7.87,31.48
O700101,P1207,Pruner Mix,Garden Tools,2,32.5,65.0
O700101,P1019,Salvia Premium,Perennials,1,15.44,15.44
O700101,P1151,Tomato Feed Classic,Soil & Fertilizer,3,13.49,40.47
O700102,P1148,Cedar Raised Bed Organic,Raised Beds,1,177.39,177.39
O700102,P1045,Lavender Pro,Perennials,4,22.34,89.36
O700102,P1230,Wildflower Pro,Flower Seeds,2,3.72,7.44
O700102,P1225,Deer Repellent Classic,Pest Control,2,24.86,49.72
O700103,P1176,Herb Kit Collection,Indoor Growing,1,113.21,113.21
O700103,P1090,Kale Mix,Vegetable Seeds,2,8.32,16.64
O700103,P1110,Carrot Pro,Vegetable Seeds,1,5.76,5.76
O700103,P1081,Climbing Rose Heirloom,Roses,1,37.46,37.46
O700104,P1187,Cedar Raised Bed Premium,Raised Beds,2,172.17,344.34
O700105,P1093,Poppy Premium,Flower Seeds,1,4.63,4.63
O700105,P1198,Compost Booster Classic,Soil & Fertilizer,2,26.34,52.68
O700106,P1003,Marigold Pro,Flower Seeds,3,6.32,18.96
O700106,P1114,Grape Pro,Fruit Plants,2,29.91,59.82
O700107,P1006,Seed Tray Starter,Garden Tools,1,34.23,34.23
O700107,P1020,Grow Bag Classic,Raised Beds,1,45.46,45.46
O700108,P1258,Pepper Organic,Vegetable Seeds,1,7.76,7.76
O700108,P1247,Climbing Rose Starter,Roses,1,42.53,42.53
O700109,P1285,Cucumber Starter,Vegetable Seeds,4,3.72,14.88
O700109,P1148,Cedar Raised Bed Organic,Raised Beds,1,177.39,177.39
O700110,P1227,Humidity Dome Heirloom,Indoor Growing,3,74.7,224.1
O700110,P1112,Hosta Organic,Perennials,1,21.57,21.57
O700110,P1153,Poppy Starter,Flower Seeds,1,6.14,6.14
O700110,P1199,Wildflower Collection,Flower Seeds,2,4.5,9.0
O700110,P1184,Daylily Organic,Perennials,2,9.45,18.9
O700111,P1019,Salvia Premium,Perennials,1,15.44,15.44
O700112,P1222,Neem Oil Heirloom,Pest Control,1,10.41,10.41
O700112,P1287,Compost Booster Premium,Soil & Fertilizer,1,20.53,20.53
O700113,P1092,Cosmos Classic,Flower Seeds,1,2.72,2.72
O700113,P1164,Cucumber Heirloom,Vegetable Seeds,2,3.88,7.76
O700113,P1072,Bone Meal Starter,Soil & Fertilizer,1,21.55,21.55
O700114,P1126,Compost Booster Pro,Soil & Fertilizer,1,19.48,19.48
O700115,P1160,Lettuce Starter,Vegetable Seeds,3,7.61,22.83
O700116,P1271,Watering Wand Organic,Garden Tools,1,7.73,7.73
O700117,P1045,Lavender Pro,Perennials,2,22.34,44.68
O700117,P1047,Tomato Feed Premium,Soil & Fertilizer,1,19.0,19.0
O700117,P1283,Blueberry Pro,Fruit Plants,2,22.98,45.96
O700117,P1150,Bean Organic,Vegetable Seeds,1,8.88,8.88
O700118,P1202,Salvia Heirloom,Perennials,1,22.13,22.13
O700119,P1050,Zinnia Collection,Flower Seeds,2,5.06,10.12
O700119,P1167,Kale Premium,Vegetable Seeds,1,5.58,5.58
O700120,P1106,Cedar Raised Bed Mix,Raised Beds,3,60.22,180.66
O700121,P1167,Kale Premium,Vegetable Seeds,1,5.58,5.58
O700122,P1064,Gloves Classic,Garden Tools,1,38.67,38.67
O700122,P1278,Grape Mix,Fruit Plants,2,14.64,29.28
O700122,P1087,Organic Fertilizer Heirloom,Soil & Fertilizer,3,17.67,53.01
O700123,P1043,Cedar Raised Bed Premium,Raised Beds,1,127.37,127.37
O700123,P1137,Coneflower Organic,Perennials,2,20.36,40.72
O700124,P1108,Hybrid Tea Rose Starter,Roses,1,41.26,41.26
O700124,P1103,Slug Control Classic,Pest Control,1,23.37,23.37
O700124,P1231,Seed Tray Organic,Garden Tools,1,9.4,9.4
O700124,P1285,Cucumber Starter,Vegetable Seeds,1,3.72,3.72
O700125,P1084,Hosta Starter,Perennials,3,19.37,58.11
O700125,P1240,Phlox Starter,Perennials,1,20.64,20.64
O700126,P1175,Watering Wand Pro,Garden Tools,1,17.94,17.94
O700126,P1250,Microgreen Tray Organic,Indoor Growing,3,78.81,236.43
O700126,P1240,Phlox Starter,Perennials,1,20.64,20.64
O700127,P1200,Blueberry Starter,Fruit Plants,4,38.59,154.36
O700128,P1298,Raspberry Mix,Fruit Plants,1,35.66,35.66
O700128,P1246,Seed Starter Mix Organic,Soil & Fertilizer,1,27.88,27.88
O700129,P1119,Coneflower Premium,Perennials,4,23.29,93.16
O700130,P1188,Bone Meal Mix,Soil & Fertilizer,3,8.41,25.23
O700131,P1226,Poppy Pro,Flower Seeds,2,4.54,9.08
O700131,P1076,Carrot Premium,Vegetable Seeds,1,4.41,4.41
O700132,P1039,Pepper Collection,Vegetable Seeds,1,8.86,8.86
O700133,P1134,Carrot Heirloom,Vegetable Seeds,1,3.66,3.66
O700133,P1285,Cucumber Starter,Vegetable Seeds,3,3.72,11.16
O700133,P1031,Tomato Collection,Vegetable Seeds,4,3.08,12.32
O700134,P1284,Pruner Classic,Garden Tools,1,21.09,21.09
O700134,P1017,Japanese Beetle Trap Heirloom,Pest Control,1,11.74,11.74
O700134,P1184,Daylily Organic,Perennials,2,9.45,18.9
O700135,P1104,Metal Raised Bed Mix,Raised Beds,1,135.59,135.59
O700135,P1209,Aster Collection,Flower Seeds,3,8.2,24.6
O700135,P1029,Carrot Classic,Vegetable Seeds,4,5.14,20.56
O700135,P1082,Blueberry Heirloom,Fruit Plants,1,20.52,20.52
O700136,P1178,Blueberry Premium,Fruit Plants,1,34.39,34.39
O700136,P1193,Kale Premium,Vegetable Seeds,2,4.82,9.64
O700137,P1170,Phlox Collection,Perennials,3,22.61,67.83
O700137,P1264,Bone Meal Heirloom,Soil & Fertilizer,2,12.22,24.44
O700137,P1030,Seed Starter Mix Mix,Soil & Fertilizer,1,9.56,9.56
O700138,P1043,Cedar Raised Bed Premium,Raised Beds,1,127.37,127.37
O700138,P1200,Blueberry Starter,Fruit Plants,1,38.59,38.59
O700138,P1108,Hybrid Tea Rose Starter,Roses,2,41.26,82.52
O700138,P1022,Microgreen Tray Premium,Indoor Growing,3,96.16,288.48
O700138,P1197,Cucumber Mix,Vegetable Seeds,2,5.45,10.9
O700139,P1218,Watering Wand Classic,Garden Tools,3,19.27,57.81
O700139,P1264,Bone Meal Heirloom,Soil & Fertilizer,1,12.22,12.22
O700140,P1257,Zucchini Mix,Vegetable Seeds,1,4.47,4.47
O700141,P1085,Blackberry Collection,Fruit Plants,2,29.02,58.04
O700141,P1101,Climbing Rose Pro,Roses,1,45.51,45.51
O700141,P1032,Bone Meal Collection,Soil & Fertilizer,1,19.84,19.84
O700142,P1225,Deer Repellent Classic,Pest Control,2,24.86,49.72
O700143,P1114,Grape Pro,Fruit Plants,1,29.91,29.91
O700144,P1086,Watering Wand Mix,Garden Tools,1,16.25,16.25
O700144,P1217,Pepper Organic,Vegetable Seeds,2,6.76,13.52
O700144,P1279,Deer Repellent Mix,Pest Control,2,18.85,37.7
O700145,P1284,Pruner Classic,Garden Tools,2,21.09,42.18
O700145,P1131,Blackberry Mix,Fruit Plants,1,26.02,26.02
O700146,P1250,Microgreen Tray Organic,Indoor Growing,2,78.81,157.62
O700147,P1105,Pepper Pro,Vegetable Seeds,2,5.74,11.48
O700147,P1176,Herb Kit Collection,Indoor Growing,2,113.21,226.42
O700147,P1254,Gloves Pro,Garden Tools,1,18.64,18.64
O700148,P1064,Gloves Classic,Garden Tools,2,38.67,77.34
O700148,P1285,Cucumber Starter,Vegetable Seeds,1,3.72,3.72
O700148,P1231,Seed Tray Organic,Garden Tools,2,9.4,18.8
O700148,P1143,Grape Pro,Fruit Plants,3,20.65,61.95
O700149,P1243,Coneflower Starter,Perennials,1,19.11,19.11
O700150,P1008,Raspberry Starter,Fruit Plants,1,16.02,16.02
O700151,P1008,Raspberry Starter,Fruit Plants,1,16.02,16.02
O700151,P1204,Wildflower Pro,Flower Seeds,1,7.42,7.42
O700151,P1269,Floribunda Rose Collection,Roses,1,23.2,23.2
O700151,P1049,Poppy Classic,Flower Seeds,1,3.59,3.59
O700151,P1165,Poppy Mix,Flower Seeds,3,4.45,13.35
O700152,P1100,Tomato Feed Premium,Soil & Fertilizer,2,23.77,47.54
O700153,P1225,Deer Repellent Classic,Pest Control,1,24.86,24.86
O700153,P1297,Knock Out Rose Heirloom,Roses,3,31.14,93.42
O700154,P1065,Gloves Collection,Garden Tools,4,20.79,83.16
O700154,P1237,Bean Organic,Vegetable Seeds,2,8.11,16.22
O700155,P1167,Kale Premium,Vegetable Seeds,1,5.58,5.58
O700155,P1158,Compost Booster Classic,Soil & Fertilizer,1,27.84,27.84
O700155,P1164,Cucumber Heirloom,Vegetable Seeds,1,3.88,3.88
O700156,P1198,Compost Booster Classic,Soil & Fertilizer,1,26.34,26.34
O700156,P1130,Poppy Premium,Flower Seeds,1,9.43,9.43
O700156,P1079,Deer Repellent Classic,Pest Control,1,24.32,24.32
O700157,P1109,Microgreen Tray Heirloom,Indoor Growing,1,35.08,35.08
O700157,P1146,Zinnia Classic,Flower Seeds,1,6.66,6.66
O700157,P1235,Pruner Classic,Garden Tools,1,15.39,15.39
O700157,P1210,Zucchini Premium,Vegetable Seeds,1,5.99,5.99
O700158,P1249,Coneflower Organic,Perennials,1,23.77,23.77
O700158,P1089,Sunflower Classic,Flower Seeds,1,7.73,7.73
O700158,P1165,Poppy Mix,Flower Seeds,2,4.45,8.9
O700158,P1174,Compost Booster Collection,Soil & Fertilizer,1,12.63,12.63
O700159,P1111,Hosta Premium,Perennials,1,10.11,10.11
O700159,P1245,Blueberry Organic,Fruit Plants,1,38.72,38.72
O700159,P1192,Sunflower Premium,Flower Seeds,1,3.06,3.06
O700160,P1023,Lavender Mix,Perennials,1,13.52,13.52
O700160,P1049,Poppy Classic,Flower Seeds,2,3.59,7.18
O700160,P1144,Wildflower Collection,Flower Seeds,1,9.5,9.5
O700161,P1152,Coneflower Classic,Perennials,2,16.51,33.02
O700161,P1023,Lavender Mix,Perennials,1,13.52,13.52
O700162,P1112,Hosta Organic,Perennials,1,21.57,21.57
O700163,P1272,Seed Tray Classic,Garden Tools,1,39.3,39.3
O700163,P1262,Zucchini Mix,Vegetable Seeds,1,5.82,5.82
O700164,P1128,Carrot Starter,Vegetable Seeds,1,8.01,8.01
O700165,P1042,Floribunda Rose Starter,Roses,1,40.05,40.05
O700165,P1230,Wildflower Pro,Flower Seeds,1,3.72,3.72
O700166,P1186,Pruner Pro,Garden Tools,3,16.82,50.46
O700166,P1089,Sunflower Classic,Flower Seeds,3,7.73,23.19
O700166,P1269,Floribunda Rose Collection,Roses,3,23.2,69.6
O700166,P1231,Seed Tray Organic,Garden Tools,2,9.4,18.8
O700166,P1110,Carrot Pro,Vegetable Seeds,2,5.76,11.52
O700167,P1275,Neem Oil Classic,Pest Control,1,24.0,24.0
O700167,P1228,Neem Oil Starter,Pest Control,1,20.4,20.4
O700167,P1002,Cucumber Collection,Vegetable Seeds,1,6.54,6.54
O700168,P1278,Grape Mix,Fruit Plants,2,14.64,29.28
O700168,P1046,Phlox Heirloom,Perennials,1,12.05,12.05
O700168,P1223,Knock Out Rose Classic,Roses,1,42.16,42.16
O700169,P1206,Hybrid Tea Rose Heirloom,Roses,1,28.31,28.31
O700169,P1258,Pepper Organic,Vegetable Seeds,1,7.76,7.76
O700169,P1008,Raspberry Starter,Fruit Plants,4,16.02,64.08
O700170,P1102,Salvia Starter,Perennials,2,14.23,28.46
O700171,P1267,Floribunda Rose Pro,Roses,2,29.6,59.2
O700171,P1002,Cucumber Collection,Vegetable Seeds,4,6.54,26.16
O700171,P1292,Tomato Feed Pro,Soil & Fertilizer,1,29.61,29.61
O700172,P1171,Zucchini Pro,Vegetable Seeds,1,4.32,4.32
